recID,CountryName,CountryCode,pop_2013,lat,lon
179,Sao Tome and Principe,STP,192993,0.21658,6.59542
180,Suriname,SUR,539276,5.82031,-55.16542
181,Slovak Republic,SVK,5414095,48.7492,19.1062
182,Slovenia,SVN,2060484,46.05061,14.5028
183,Sweden,SWE,9592552,59.33233,18.06293
184,Swaziland,SWZ,1249514,-26.32604,31.1411
185,Sint Maarten (Dutch part),SXM,39689,18.02524,-63.04467
186,Seychelles,SYC,89173,-4.62311,55.45364
187,Syrian Arab Republic,SYR,22845550,33.4993,36.30132
188,Turks and Caicos Islands,TCA,33098,21.7913,-71.7766
189,Chad,TCD,12825314,15.5748,18.7182
190,Togo,TGO,6816982,8.4736,1.00643
191,Thailand,THA,67010502,13.75336,100.50483
192,Tajikistan,TJK,8207834,38.56791,68.77156
193,Turkmenistan,TKM,5240072,37.95055,58.38555
194,Timor-Leste,TLS,1178252,-8.89242,125.7582
195,Tonga,TON,105323,-21.13369,-175.20361
196,Trinidad and Tobago,TTO,1341151,10.459,-61.2323
197,Tunisia,TUN,10886500,36.80002,10.1827
198,Turkey,TUR,74932641,39.94292,32.86049
199,Tuvalu,TUV,9876,-8.51922,179.19871
200,Tanzania,TZA,49253126,-6.17349,35.74653
201,Uganda,UGA,37578876,0.32537,32.58701
202,Ukraine,UKR,45489600,50.45058,30.52428
203,Uruguay,URY,3407062,-34.87417,-56.16293
204,United States,USA,316128839,38.89037,-77.03196
205,Uzbekistan,UZB,30241100,41.32051,69.30666
206,St. Vincent and the Grenadines,VCT,109373,13.15647,-61.22765
207,"Venezuela, RB",VEN,30405207,7.1784,-65.2638
208,Virgin Islands (U.S.),VIR,104737,18.34055,-64.93215
209,Vietnam,VNM,89708900,21.0289,105.85465
210,Vanuatu,VUT,252763,-17.73418,168.32094
212,Samoa,WSM,190372,-13.624,-172.4482
213,"Yemen, Rep.",YEM,24407381,15.35318,44.21954
214,South Africa,ZAF,52981991,-25.74587,28.18763
215,"Congo, Dem. Rep.",COD,67513677,-2.1867,23.2037
216,Zambia,ZMB,14538640,-15.42555,28.27877
217,Zimbabwe,ZWE,14149648,-17.82438,31.05
